Season,Absence/Suspension,competition,from,until,Days,Games missed,player,url
12/13,Yellow card suspension,Süper Lig,"Apr 6, 2013","Apr 14, 2013",8 Tage,1,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
12/13,Called up to national team, ,"Jan 1, 2013","Jan 28, 2013",27 Tage,2,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
11/12,Indirect card suspension,Süper Lig,"Mar 22, 2012","Mar 26, 2012",4 Tage,1,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
11/12,Called up to national team, ,"Jan 12, 2012","Feb 3, 2012",22 Tage,3,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
11/12,Suspended,Süper Lig,"Dec 28, 2011","Jan 23, 2012",26 Tage,4,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
11/12,Yellow card suspension,Süper Lig,"Dec 4, 2011","Dec 9, 2011",5 Tage,1,Nordin Amrabat,/nordin-amrabat/profil/spieler/55619
17/18,Yellow card suspension,LaLiga,"Apr 18, 2018","Apr 22, 2018",4 Tage,1,Jonny Otto,/jonny-otto/profil/spieler/175446
17/18,Yellow card suspension,LaLiga,"Nov 25, 2017","Dec 3, 2017",8 Tage,1,Jonny Otto,/jonny-otto/profil/spieler/175446
15/16,Red card suspension,LaLiga,"Dec 7, 2015","Dec 15, 2015",8 Tage,1,Jonny Otto,/jonny-otto/profil/spieler/175446
14/15,Yellow card suspension,LaLiga,"Jan 26, 2015","Feb 3, 2015",8 Tage,1,Jonny Otto,/jonny-otto/profil/spieler/175446
19/20,Yellow card suspension,Championship,"Nov 27, 2019","Dec 2, 2019",5 Tage,1,Conor Gallagher,/conor-gallagher/profil/spieler/488362
17/18,Yellow card suspension,U17 World Cup 2017,"Oct 23, 2017","Oct 26, 2017",3 Tage,1,Conor Gallagher,/conor-gallagher/profil/spieler/488362
16/17,Yellow card suspension,Premier League,"Jan 1, 2017","Jan 3, 2017",2 Tage,1,Dean Marney,/dean-marney/profil/spieler/4055
13/14,Yellow card suspension,Championship,"Mar 26, 2014","Apr 7, 2014",12 Tage,2,Dean Marney,/dean-marney/profil/spieler/4055
13/14,Yellow card suspension,Championship,"Sep 30, 2013","Oct 2, 2013",2 Tage,1,Dean Marney,/dean-marney/profil/spieler/4055
21/22,Indirect card suspension,Premier League,"Sep 12, 2021","Sep 19, 2021",7 Tage,1,Japhet Tanganga,/japhet-tanganga/profil/spieler/346478
16/17,Red card suspension, ,"Jan 4, 2017","Jan 22, 2017",18 Tage,3,Simon Francis,/simon-francis/profil/spieler/13573
15/16,Red card suspension,Premier League,"Jan 4, 2016","Jan 11, 2016",7 Tage,1,Simon Francis,/simon-francis/profil/spieler/13573
14/15,Indirect card suspension,Championship,"Apr 20, 2015","Apr 27, 2015",7 Tage,1,Simon Francis,/simon-francis/profil/spieler/13573
16/17,Red card suspension,Championship,"Sep 28, 2016","Oct 3, 2016",5 Tage,1,Matthew Connolly,/matthew-connolly/profil/spieler/34559
16/17,No eligibility,UEFA Champions League,"Sep 1, 2016","Feb 1, 2017",153 Tage,6,Yaya Touré,/yaya-toure/profil/spieler/13091
14/15,Red card suspension,UEFA Champions League,"Nov 6, 2014","Feb 26, 2015",112 Tage,3,Yaya Touré,/yaya-toure/profil/spieler/13091
13/14,Yellow card suspension,UEFA Champions League,"Nov 28, 2013","Dec 12, 2013",14 Tage,1,Yaya Touré,/yaya-toure/profil/spieler/13091
12/13,Called up to national team,Africa Cup of Nations,"Jan 7, 2013","Feb 11, 2013",35 Tage,-,Yaya Touré,/yaya-toure/profil/spieler/13091
11/12,Called up to national team,Africa Cup of Nations,"Jan 9, 2012","Feb 13, 2012",35 Tage,-,Yaya Touré,/yaya-toure/profil/spieler/13091
03/04,Yellow card suspension,Jupiler Pro League,"Dec 18, 2003","Dec 22, 2003",4 Tage,1,Yaya Touré,/yaya-toure/profil/spieler/13091
02/03,Yellow card suspension,Jupiler Pro League,"Feb 27, 2003","Mar 3, 2003",4 Tage,1,Yaya Touré,/yaya-toure/profil/spieler/13091
02/03,Yellow card suspension,Jupiler Pro League,"Oct 17, 2002","Oct 21, 2002",4 Tage,1,Yaya Touré,/yaya-toure/profil/spieler/13091
01/02,Yellow card suspension,Jupiler Pro League,"May 2, 2002","May 6, 2002",4 Tage,1,Yaya Touré,/yaya-toure/profil/spieler/13091
18/19,Yellow card suspension,Superligaen,"Feb 21, 2019","Feb 26, 2019",5 Tage,1,Matej Delac,/matej-delac/profil/spieler/60220
18/19,Red card suspension,Superligaen,"Dec 6, 2018","Dec 18, 2018",12 Tage,2,Matej Delac,/matej-delac/profil/spieler/60220
20/21,special leave,Süper Lig,"May 14, 2021","May 16, 2021",2 Tage,1,Aaron Lennon,/aaron-lennon/profil/spieler/14221
20/21,Indirect card suspension,Süper Lig,"Dec 24, 2020","Dec 29, 2020",5 Tage,1,Aaron Lennon,/aaron-lennon/profil/spieler/14221
20/21,No eligibility,Süper Lig,"Sep 3, 2020","Sep 15, 2020",12 Tage,1,Aaron Lennon,/aaron-lennon/profil/spieler/14221
21/22,Yellow card suspension,Supercoppa Italiana,"Jan 10, 2022","Jan 13, 2022",3 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
21/22,Yellow card suspension,World Cup qualification South America,"Oct 9, 2021","Oct 11, 2021",2 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
20/21,Yellow card suspension,Copa América 2021,"Jun 25, 2021","Jul 5, 2021",10 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
20/21,Yellow card suspension,Serie A,"Mar 16, 2021","Mar 22, 2021",6 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
20/21,Red card suspension,Serie A,"Dec 24, 2020","Jan 4, 2021",11 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
19/20,Yellow card suspension,Serie A,"Jul 12, 2020","Jul 16, 2020",4 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
19/20,Red card suspension,Serie A,"Dec 8, 2019","Dec 16, 2019",8 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
19/20,Yellow card suspension,UEFA Champions League,"Oct 23, 2019","Nov 7, 2019",15 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
17/18,Yellow card suspension,Serie A,"May 8, 2018","May 14, 2018",6 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
17/18,Indirect card suspension,UEFA Champions League,"Jun 5, 2017","Sep 13, 2017",100 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
16/17,Yellow card suspension,Serie A,"Mar 6, 2017","Mar 13, 2017",7 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
16/17,Yellow card suspension,World Cup qualification South America,"Oct 12, 2016","Nov 11, 2016",30 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
15/16,Red card suspension,World Cup qualification South America,"Oct 15, 2015","Nov 16, 2015",32 Tage,2,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
14/15,Yellow card suspension,Serie A,"Dec 8, 2014","Dec 15, 2014",7 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
14/15,Yellow card suspension,Serie A,"May 19, 2014","Sep 1, 2014",105 Tage,1,Juan Cuadrado,/juan-cuadrado/profil/spieler/91970
21/22,Red card suspension,Championship,"Nov 1, 2021","Nov 4, 2021",3 Tage,1,Darnell Furlong,/darnell-furlong/profil/spieler/351755
19/20,Yellow card suspension,Serie A,"Jul 16, 2020","Jul 20, 2020",4 Tage,1,Matteo Darmian,/matteo-darmian/profil/spieler/54906
13/14,Yellow card suspension,Serie A,"Apr 8, 2014","Apr 14, 2014",6 Tage,1,Matteo Darmian,/matteo-darmian/profil/spieler/54906
12/13,Indirect card suspension,Serie A,"Apr 22, 2013","Apr 29, 2013",7 Tage,1,Matteo Darmian,/matteo-darmian/profil/spieler/54906
12/13,Yellow card suspension,Serie A,"Jan 6, 2013","Jan 14, 2013",8 Tage,1,Matteo Darmian,/matteo-darmian/profil/spieler/54906
12/13,Yellow card suspension,Serie A,"Oct 8, 2012","Oct 22, 2012",14 Tage,1,Matteo Darmian,/matteo-darmian/profil/spieler/54906
10/11,Red card suspension,Serie A,"Mar 1, 2011","Mar 7, 2011",6 Tage,1,Matteo Darmian,/matteo-darmian/profil/spieler/54906
11/12,Indirect card suspension,Regionalliga West (bis 11/12),"Oct 16, 2011","Oct 22, 2011",6 Tage,1,Lukas Rupp,/lukas-rupp/profil/spieler/82863
18/19,Suspended,,"Aug 4, 2018","Sep 1, 2018",28 Tage,?,Eunan O'Kane,/eunan-okane/profil/spieler/61583
17/18,Red card suspension,Championship,"Jan 15, 2018","Feb 5, 2018",21 Tage,3,Eunan O'Kane,/eunan-okane/profil/spieler/61583
21/22,special leave,,"Mar 11, 2022","Mar 16, 2022",5 Tage,?,Sead Haksabanovic,/sead-haksabanovic/profil/spieler/349300
18/19,Indirect card suspension,Serie A,"Jan 22, 2019","Jan 28, 2019",6 Tage,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
18/19,Yellow card suspension,Serie A,"Dec 11, 2018","Dec 17, 2018",6 Tage,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
15/16,Yellow card suspension,Super League,"May 22, 2016","May 26, 2016",4 Tage,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
14/15,Yellow card suspension,Super League,"May 18, 2015","May 22, 2015",4 Tage,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
14/15,Yellow card suspension,Super League,"Mar 9, 2015","Mar 16, 2015",7 Tage,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
21/22,Indirect card suspension, ,"Jan 8, 2022","Jan 13, 2022",5 Tage,1,Chuba Akpom,/chuba-akpom/profil/spieler/197642
20/21,No eligibility,Championship,"Sep 18, 2020","Sep 20, 2020",2 Tage,?,Chuba Akpom,/chuba-akpom/profil/spieler/197642
20/21,Suspended,Super League 1,"Sep 17, 2020","Sep 19, 2020",2 Tage,?,Chuba Akpom,/chuba-akpom/profil/spieler/197642
19/20,Yellow card suspension,Super League 1,"Jan 24, 2020","Jan 28, 2020",4 Tage,1,Chuba Akpom,/chuba-akpom/profil/spieler/197642
14/15,Indirect card suspension,Premier League,"Jan 26, 2015","Feb 2, 2015",7 Tage,1,Jack Rodwell,/jack-rodwell/profil/spieler/57079
21/22,Yellow card suspension,Bundesliga,"Mar 21, 2022","Apr 4, 2022",14 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
20/21,Yellow card suspension,Bundesliga,"Apr 12, 2021","Apr 19, 2021",7 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
20/21,No eligibility,World Cup qualification Europe,"Mar 25, 2021","Mar 29, 2021",4 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
20/21,Indirect card suspension,Bundesliga,"Dec 14, 2020","Dec 17, 2020",3 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
20/21,Yellow card suspension,UEFA Nations League B,"Nov 16, 2020","Nov 19, 2020",3 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
20/21,special leave,UEFA Nations League B,"Sep 3, 2020","Sep 7, 2020",4 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
18/19,Yellow card suspension,Bundesliga,"Apr 8, 2019","Apr 15, 2019",7 Tage,1,Ondrej Duda,/ondrej-duda/profil/spieler/232418
14/15,Red card suspension,Regionalliga Nord,"Aug 18, 2014","Aug 30, 2014",12 Tage,2,Onel Hernández,/onel-hernandez/profil/spieler/109751
11/12,Red card suspension, ,"Aug 13, 2011","Aug 21, 2011",8 Tage,2,Onel Hernández,/onel-hernandez/profil/spieler/109751
19/20,Red card suspension,Championship,"Dec 16, 2019","Dec 30, 2019",14 Tage,3,Paddy McNair,/paddy-mcnair/profil/spieler/167268
19/20,Yellow card suspension,Championship,"Dec 2, 2019","Dec 9, 2019",7 Tage,1,Paddy McNair,/paddy-mcnair/profil/spieler/167268
18/19,Suspension through sports court,LaLiga,"Mar 31, 2019","Apr 8, 2019",8 Tage,2,Pablo Fornals,/pablo-fornals/profil/spieler/357885
18/19,Yellow card suspension,Super League,"Nov 26, 2018","Dec 3, 2018",7 Tage,1,Ricky van Wolfswinkel,/ricky-van-wolfswinkel/profil/spieler/41355
17/18,Yellow card suspension,KNVB beker,"May 1, 2017","Jun 14, 2017",44 Tage,-,Ricky van Wolfswinkel,/ricky-van-wolfswinkel/profil/spieler/41355
16/17,Yellow card suspension,Eredivisie,"Apr 17, 2017","Apr 24, 2017",7 Tage,1,Ricky van Wolfswinkel,/ricky-van-wolfswinkel/profil/spieler/41355
21/22,Called up to national team, ,"Jan 3, 2022","Jan 30, 2022",27 Tage,6,Jean Michaël Seri,/jean-michael-seri/profil/spieler/178614
20/21,No eligibility,Premier League,"Oct 20, 2020","Jan 2, 2021",74 Tage,12,Jean Michaël Seri,/jean-michael-seri/profil/spieler/178614
19/20,Red card suspension,Süper Lig,"Aug 25, 2019","Sep 14, 2019",20 Tage,2,Jean Michaël Seri,/jean-michael-seri/profil/spieler/178614
21/22,special leave,UEFA Europa Conference League,"Dec 6, 2021","Dec 10, 2021",4 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
21/22,Yellow card suspension,World Cup qualification Asia,"Nov 12, 2021","Nov 17, 2021",5 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
21/22,special leave,UEFA Europa Conference League,"Sep 12, 2021","Sep 15, 2021",3 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
18/19,Called up to national team, ,"Jan 5, 2019","Jan 29, 2019",24 Tage,5,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
16/17,special leave,Europa League,"Nov 2, 2016","Nov 4, 2016",2 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
16/17,special leave,Europa League,"Oct 19, 2016","Oct 21, 2016",2 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
15/16,Yellow card suspension,Eredivisie,"Mar 21, 2016","Apr 4, 2016",14 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
14/15,Called up to national team,Keuken Kampioen Divisie,"Jan 1, 2015","Jan 30, 2015",29 Tage,2,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
14/15,Red card suspension,Keuken Kampioen Divisie,"Dec 1, 2014","Dec 8, 2014",7 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
13/14,Yellow card suspension,Eredivisie,"Dec 9, 2013","Dec 15, 2013",6 Tage,1,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
21/22,Red card suspension,Fortuna Liga - Championship Group,"Apr 4, 2022","Apr 10, 2022",6 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
21/22,Yellow card suspension,Fortuna Liga - Championship Group,"Feb 27, 2022","Mar 6, 2022",7 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
20/21,Yellow card suspension,UEFA Champions League,"Dec 2, 2020","Dec 10, 2020",8 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
19/20,Yellow card suspension,Süper Lig,"Jun 19, 2020","Jun 29, 2020",10 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
18/19,Yellow card suspension,Süper Lig,"Apr 27, 2019","May 5, 2019",8 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
18/19,Red card suspension,Süper Lig,"Jan 24, 2019","Feb 2, 2019",9 Tage,2,Martin Skrtel,/martin-skrtel/profil/spieler/24180
17/18,Yellow card suspension,Süper Lig,"May 14, 2018","May 20, 2018",6 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
17/18,Yellow card suspension,Süper Lig,"Dec 18, 2017","Dec 24, 2017",6 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
17/18,Indirect card suspension,Süper Lig,"Sep 29, 2017","Oct 16, 2017",17 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
17/18,Yellow card suspension,World Cup qualification Europe,"Jun 10, 2017","Sep 1, 2017",83 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
16/17,Yellow card suspension,Süper Lig,"May 27, 2017","Jun 4, 2017",8 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
16/17,Indirect card suspension,Süper Lig,"May 7, 2017","May 14, 2017",7 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
16/17,Yellow card suspension,Süper Lig,"Dec 19, 2016","Dec 27, 2016",8 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
16/17,Yellow card suspension,Europa League,"Dec 8, 2016","Feb 17, 2017",71 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
16/17,Indirect card suspension,World Cup qualification Europe,"Sep 5, 2016","Oct 8, 2016",33 Tage,1,Martin Skrtel,/martin-skrtel/profil/spieler/24180
21/22,Yellow card suspension,Bundesliga,"Dec 19, 2021","Jan 9, 2022",21 Tage,1,Reece Oxford,/reece-oxford/profil/spieler/314295
18/19,Red card suspension,Bundesliga,"Feb 24, 2019","Mar 16, 2019",20 Tage,3,Reece Oxford,/reece-oxford/profil/spieler/314295
14/15,Indirect card suspension,European Qualifiers,"Apr 1, 2015","Jun 13, 2015",73 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
11/12,Yellow card suspension,International Friendlies,"May 24, 2012","May 28, 2012",4 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
11/12,Red card suspension,Premier League,"Jan 8, 2012","Jan 26, 2012",18 Tage,4,Vincent Kompany,/vincent-kompany/profil/spieler/9594
10/11,Yellow card suspension,European Qualifiers,"Mar 28, 2011","Mar 31, 2011",3 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
10/11,Indirect card suspension,European Qualifiers,"Oct 8, 2010","Oct 11, 2010",3 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
08/09,Olympic games, ,"Aug 3, 2008","Aug 11, 2008",8 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
07/08,Suspended,Bundesliga,"Apr 14, 2008","Apr 21, 2008",7 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
07/08,Indirect card suspension,Bundesliga,"Mar 28, 2008","Mar 31, 2008",3 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
07/08,Yellow card suspension,UEFA-Cup (-2009),"Mar 12, 2008","Mar 13, 2008",1 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
07/08,Red card suspension,Bundesliga,"Aug 25, 2007","Sep 3, 2007",9 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
04/05,Yellow card suspension,World Cup qualification Europe,"Jun 3, 2005","Jun 6, 2005",3 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
03/04,Yellow card suspension,Jupiler Pro League,"Mar 22, 2004","Mar 24, 2004",2 Tage,1,Vincent Kompany,/vincent-kompany/profil/spieler/9594
19/20,Red card suspension,Championship,"Dec 16, 2019","Dec 30, 2019",14 Tage,3,Sean Morrison,/sean-morrison/profil/spieler/79723
20/21,Called up to national team,EFL Cup,"Sep 1, 2020","Sep 10, 2020",9 Tage,1,Teemu Pukki,/teemu-pukki/profil/spieler/46972
19/20,No eligibility,UEFA Champions League,"Jul 15, 2020","Aug 24, 2020",40 Tage,4,Leroy Sané,/leroy-sane/profil/spieler/192565
18/19,special leave,,"Sep 7, 2018","Sep 9, 2018",2 Tage,-,Leroy Sané,/leroy-sane/profil/spieler/192565
20/21,Yellow card suspension,World Cup qualification South America,"Oct 14, 2020","Nov 13, 2020",30 Tage,1,Francisco Sierralta,/francisco-sierralta/profil/spieler/371436
19/20,Suspension through sports court,Saudi Professional League,"Aug 10, 2020","Aug 15, 2020",5 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
19/20,Red card suspension,Saudi Professional League,"Aug 5, 2020","Aug 10, 2020",5 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
19/20,Red card suspension,Saudi Professional League,"Feb 29, 2020","Mar 7, 2020",7 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
19/20,Yellow card suspension,Saudi Professional League,"Feb 14, 2020","Feb 22, 2020",8 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
19/20,Yellow card suspension,Saudi Professional League,"Dec 12, 2019","Dec 21, 2019",9 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
15/16,Yellow card suspension,LaLiga,"Feb 22, 2016","Feb 29, 2016",7 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
15/16,Indirect card suspension,Copa del Rey,"Jan 7, 2016","Jan 14, 2016",7 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
13/14,Yellow card suspension,LaLiga,"May 5, 2014","May 12, 2014",7 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
13/14,Yellow card suspension,Süper Lig,"Dec 30, 2013","Jan 27, 2014",28 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
12/13,Yellow card suspension,Süper Lig,"Dec 13, 2012","Dec 24, 2012",11 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
11/12,Yellow card suspension,Süper Lig,"Feb 20, 2012","Feb 27, 2012",7 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
11/12,Yellow card suspension,Süper Lig,"Dec 19, 2011","Dec 22, 2011",3 Tage,1,Alfred N'Diaye,/alfred-ndiaye/profil/spieler/77737
19/20,Called up to national team,LaLiga2,"Nov 11, 2019","Nov 20, 2019",9 Tage,1,Manu García,/manu-garcia/profil/spieler/277118
19/20,Called up to national team,LaLiga2,"Oct 7, 2019","Oct 16, 2019",9 Tage,1,Manu García,/manu-garcia/profil/spieler/277118
18/19,Indirect card suspension,Ligue 1,"Dec 6, 2018","Dec 18, 2018",12 Tage,1,Manu García,/manu-garcia/profil/spieler/277118
19/20,No eligibility,Premier League,"Jan 1, 2020","Jan 3, 2020",2 Tage,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
19/20,special leave, ,"Aug 30, 2019","Sep 1, 2019",2 Tage,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
15/16,Olympic games,Olympic Games,"Jul 21, 2016","Aug 22, 2016",32 Tage,6,Takumi Minamino,/takumi-minamino/profil/spieler/165793
14/15,Called up to national team, ,"Sep 29, 2014","Oct 19, 2014",20 Tage,3,Takumi Minamino,/takumi-minamino/profil/spieler/165793
14/15,Yellow card suspension,J1 League,"Aug 17, 2014","Aug 24, 2014",7 Tage,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
14/15,Red card suspension,J1 League,"Jul 16, 2014","Jul 20, 2014",4 Tage,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
13/14,Red card suspension,AFC Champions League,"Apr 17, 2014","Apr 24, 2014",7 Tage,1,Takumi Minamino,/takumi-minamino/profil/spieler/165793
19/20,Yellow card suspension,Superligaen,"Feb 20, 2020","Feb 25, 2020",5 Tage,1,Dame N'Doye,/dame-ndoye/profil/spieler/44855
16/17,Yellow card suspension,Süper Lig,"Apr 2, 2017","Apr 9, 2017",7 Tage,1,Dame N'Doye,/dame-ndoye/profil/spieler/44855
16/17,Indirect card suspension,Türkiye Kupasi,"Jan 13, 2017","Jan 19, 2017",6 Tage,1,Dame N'Doye,/dame-ndoye/profil/spieler/44855
15/16,special leave,Türkiye Kupasi,"Jan 8, 2016","Jan 14, 2016",6 Tage,?,Dame N'Doye,/dame-ndoye/profil/spieler/44855
15/16,special leave,Championship,"Aug 7, 2015","Aug 10, 2015",3 Tage,?,Dame N'Doye,/dame-ndoye/profil/spieler/44855
13/14,Yellow card suspension,Premier Liga,"Apr 14, 2014","Apr 20, 2014",6 Tage,1,Dame N'Doye,/dame-ndoye/profil/spieler/44855
20/21,Yellow card suspension,LaLiga,"Jan 21, 2021","Jan 25, 2021",4 Tage,1,Denis Suárez,/denis-suarez/profil/spieler/165007
21/22,Yellow card suspension,Premier Liga,"May 8, 2022","May 16, 2022",8 Tage,1,Jean-Philippe Gbamin,/jean-philippe-gbamin/profil/spieler/182894
16/17,Red card suspension,Bundesliga,"Apr 6, 2017","Apr 17, 2017",11 Tage,2,Jean-Philippe Gbamin,/jean-philippe-gbamin/profil/spieler/182894
16/17,Indirect card suspension,Bundesliga,"Dec 12, 2016","Dec 19, 2016",7 Tage,1,Jean-Philippe Gbamin,/jean-philippe-gbamin/profil/spieler/182894
16/17,Indirect card suspension,Bundesliga,"Nov 28, 2016","Dec 5, 2016",7 Tage,1,Jean-Philippe Gbamin,/jean-philippe-gbamin/profil/spieler/182894
17/18,Yellow card suspension,Süper Lig,"Nov 26, 2017","Dec 4, 2017",8 Tage,1,Vincent Janssen,/vincent-janssen/profil/spieler/207015
14/15,Yellow card suspension,Keuken Kampioen Divisie,"Apr 28, 2015","May 2, 2015",4 Tage,1,Vincent Janssen,/vincent-janssen/profil/spieler/207015
14/15,Yellow card suspension,Keuken Kampioen Divisie,"Feb 10, 2015","Feb 14, 2015",4 Tage,1,Vincent Janssen,/vincent-janssen/profil/spieler/207015
14/15,Yellow card suspension,Keuken Kampioen Divisie,"Oct 6, 2014","Oct 18, 2014",12 Tage,1,Vincent Janssen,/vincent-janssen/profil/spieler/207015
13/14,Yellow card suspension,Keuken Kampioen Divisie,"Feb 17, 2014","Feb 22, 2014",5 Tage,1,Vincent Janssen,/vincent-janssen/profil/spieler/207015
13/14,Yellow card suspension,Keuken Kampioen Divisie,"Jan 27, 2014","Feb 3, 2014",7 Tage,1,Vincent Janssen,/vincent-janssen/profil/spieler/207015
14/15,Indirect card suspension,Premier League,"Dec 29, 2014","Jan 2, 2015",4 Tage,1,Paul Konchesky,/paul-konchesky/profil/spieler/3296
13/14,Red card suspension,Championship,"Feb 20, 2014","Mar 12, 2014",20 Tage,3,Paul Konchesky,/paul-konchesky/profil/spieler/3296
19/20,Red card suspension,Allianz Cup,"Jan 23, 2020","Jan 26, 2020",3 Tage,1,Eduardo,/eduardo/profil/spieler/34159
20/21,Yellow card suspension,Serie A,"Apr 19, 2021","Apr 22, 2021",3 Tage,1,Maya Yoshida,/maya-yoshida/profil/spieler/81789
18/19,Called up to national team, ,"Jan 3, 2019","Feb 3, 2019",31 Tage,6,Maya Yoshida,/maya-yoshida/profil/spieler/81789
17/18,Indirect card suspension,Premier League,"May 6, 2018","May 8, 2018",2 Tage,1,Maya Yoshida,/maya-yoshida/profil/spieler/81789
14/15,Called up to national team, ,"Jan 2, 2015","Jan 24, 2015",22 Tage,5,Maya Yoshida,/maya-yoshida/profil/spieler/81789
12/13,Olympic games, ,"Jul 9, 2012","Aug 12, 2012",34 Tage,1,Maya Yoshida,/maya-yoshida/profil/spieler/81789
11/12,Red card suspension,Eredivisie,"Mar 12, 2012","Mar 25, 2012",13 Tage,2,Maya Yoshida,/maya-yoshida/profil/spieler/81789
10/11,Indirect card suspension,AFC Asian Cup 2011,"Jan 21, 2011","Jan 25, 2011",4 Tage,1,Maya Yoshida,/maya-yoshida/profil/spieler/81789
08/09,Olympic games, ,"Aug 7, 2008","Aug 15, 2008",8 Tage,1,Maya Yoshida,/maya-yoshida/profil/spieler/81789
