fixture_id,date,gameweek,home_team,away_team,season,tag,player_id
207,2025-01-15T20:00:00Z,21,ARS,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
208,2025-01-16T19:30:00Z,21,IPS,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
209,2025-01-16T20:00:00Z,21,MUN,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
210,2025-01-18T12:30:00Z,22,NEW,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
211,2025-01-18T15:00:00Z,22,BRE,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
212,2025-01-18T15:00:00Z,22,LEI,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
213,2025-01-18T15:00:00Z,22,WHU,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
214,2025-01-18T17:30:00Z,22,ARS,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
215,2025-01-19T14:00:00Z,22,EVE,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
216,2025-01-19T14:00:00Z,22,MUN,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
217,2025-01-19T14:00:00Z,22,NFO,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
218,2025-01-19T16:30:00Z,22,IPS,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
219,2025-01-20T20:00:00Z,22,CHE,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
220,2025-01-25T15:00:00Z,23,BOU,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
221,2025-01-25T15:00:00Z,23,BHA,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
222,2025-01-25T15:00:00Z,23,LIV,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
223,2025-01-25T15:00:00Z,23,SOU,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
224,2025-01-25T15:00:00Z,23,WOL,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
225,2025-01-25T17:30:00Z,23,MCI,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
226,2025-01-26T14:00:00Z,23,CRY,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
227,2025-01-26T14:00:00Z,23,TOT,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
228,2025-01-26T16:30:00Z,23,AVL,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
229,2025-01-26T19:00:00Z,23,FUL,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
230,2025-02-01T12:30:00Z,24,NFO,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
231,2025-02-01T15:00:00Z,24,BOU,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
232,2025-02-01T15:00:00Z,24,EVE,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
233,2025-02-01T15:00:00Z,24,IPS,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
234,2025-02-01T15:00:00Z,24,NEW,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
235,2025-02-01T17:30:00Z,24,WOL,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
236,2025-02-02T14:00:00Z,24,BRE,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
237,2025-02-02T14:00:00Z,24,MUN,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
238,2025-02-02T16:30:00Z,24,ARS,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
239,2025-02-03T20:00:00Z,24,CHE,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
240,2025-02-12T19:30:00Z,24,EVE,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
241,2025-02-14T20:00:00Z,25,BHA,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
