season,details,reason,from,until,days,games,player,url
2122,Transferred to Palace U21,Transfer,2021-07-01,2022-01-25,,,Robert Street,/robert-street/profil/spieler/703474
2122,Transferred to Newport County,Transfer,2022-01-26,2022-05-30,,,Robert Street,/robert-street/profil/spieler/703474
2122,Transferred to Palace U21,Transfer,2022-05-31,2022-06-30,,,Robert Street,/robert-street/profil/spieler/703474
2122,Transferred to New York RB,Transfer,2022-02-28,2022-06-30,,,Ashley Fletcher,/ashley-fletcher/profil/spieler/289846
2122,Ill,injury,2022-01-31,2022-02-07,7,1,Victor Lindelöf,/victor-lindelof/profil/spieler/184573
2122,Corona virus,injury,2021-12-26,2022-01-05,10,3,Victor Lindelöf,/victor-lindelof/profil/spieler/184573
2122,Heart Condition,injury,2021-12-11,2021-12-21,10,1,Victor Lindelöf,/victor-lindelof/profil/spieler/184573
2122,Transferred to Bournemouth,Transfer,2021-07-01,2021-07-19,,,Asmir Begovic,/asmir-begovic/profil/spieler/33873
2122,Transferred to Everton U23,Transfer,2021-07-01,2022-06-30,,,Ryan Astley,/ryan-astley/profil/spieler/511552
2122,Knock,injury,2022-04-04,2022-07-25,112,10,Thomas Partey,/thomas-partey/profil/spieler/230784
2122,Ankle Injury,injury,2021-07-29,2021-08-30,32,4,Thomas Partey,/thomas-partey/profil/spieler/230784
2122,Transferred to Palace U21,Transfer,2021-07-01,2022-06-30,,,Reece Hannam,/reece-hannam/profil/spieler/503241
2122,Transferred to Brighton U23,Transfer,2021-07-01,2022-06-30,,,Evan Ferguson,/evan-ferguson/profil/spieler/648046
2122,Femoral Fracture,injury,2022-04-30,,394,49,Stuart Dallas,/stuart-dallas/profil/spieler/158764
2122,Leg Injury,injury,2021-07-07,2021-08-31,55,4,Mathias Jensen,/mathias-jensen/profil/spieler/319859
2122,Hamstring Injury,injury,2022-01-06,2022-02-03,28,4,Heung-min Son,/heung-min-son/profil/spieler/91845
2122,Calf Strain,injury,2021-09-06,2021-09-20,14,3,Heung-min Son,/heung-min-son/profil/spieler/91845
2122,Knee Injury,injury,2021-09-17,2021-11-28,72,11,Luke Ayling,/luke-ayling/profil/spieler/67420
2122,Corona virus,injury,2021-12-23,2022-01-03,11,3,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
2122,Unknown Injury,injury,2021-12-17,2022-01-03,17,5,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
2122,Transferred to QPR,Transfer,2022-01-31,2022-05-30,,,Jeff Hendrick,/jeff-hendrick/profil/spieler/148262
2122,Transferred to Chelsea U23,Transfer,2021-07-01,2022-06-30,,,Teddy Sharman-Lowe,/teddy-sharman-lowe/profil/spieler/731466
2122,Corona virus,injury,2021-10-06,2021-10-20,14,1,Trincão,/trincao/profil/spieler/412669
2122,Transferred to Barcelona,Transfer,2021-07-01,2021-07-03,,,Trincão,/trincao/profil/spieler/412669
2122,Transferred to Barcelona,Transfer,2022-06-30,2022-06-30,,,Trincão,/trincao/profil/spieler/412669
2122,Heart Condition,injury,2022-01-13,2022-01-31,18,,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
2122,Corona virus,injury,2022-01-03,2022-01-13,10,2,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
2122,Corona virus,injury,2021-08-02,2021-08-16,14,1,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
2122,Transferred to Barcelona,Transfer,2022-01-31,2022-06-30,,,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
2122,Transferred to Sheff Utd,Transfer,2021-08-30,2022-05-30,,,Conor Hourihane,/conor-hourihane/profil/spieler/61653
2122,Transferred to FC Porto,Transfer,2021-07-01,2022-01-29,,,Luis Díaz,/luis-diaz/profil/spieler/480692
2122,Transferred to Chelsea U23,Transfer,2021-07-01,2021-07-29,,,Conor Gallagher,/conor-gallagher/profil/spieler/488362
2122,Transferred to Chelsea U23,Transfer,2022-05-31,2022-06-30,,,Conor Gallagher,/conor-gallagher/profil/spieler/488362
2122,Transferred to Man City U23,Transfer,2021-07-01,2022-06-30,,,Samuel Edozie,/samuel-edozie/profil/spieler/680806
2122,Transferred to Tottenham U23,Transfer,2021-07-01,2022-06-30,,,Tobi Omole,/tobi-omole/profil/spieler/503687
2122,Knee Problems,injury,2022-04-22,2022-05-05,13,2,Maxwel Cornet,/maxwel-cornet/profil/spieler/234781
2122,Transferred to Olympique Lyon,Transfer,2021-07-01,2021-08-28,,,Maxwel Cornet,/maxwel-cornet/profil/spieler/234781
2122,Corona virus,injury,2022-01-12,2022-01-17,5,1,Hélder Costa,/helder-costa/profil/spieler/173900
2122,Transferred to Valencia,Transfer,2021-08-31,2022-06-29,,,Hélder Costa,/helder-costa/profil/spieler/173900
2122,Tonsillitis,injury,2022-04-26,2022-05-08,12,3,Jadon Sancho,/jadon-sancho/profil/spieler/401173
2122,Transferred to Bor. Dortmund,Transfer,2021-07-01,2021-07-22,,,Jadon Sancho,/jadon-sancho/profil/spieler/401173
2122,Rest,injury,2022-06-09,2022-06-13,4,,Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198
2122,Problems with the hip flexor,injury,2022-03-03,2022-03-07,4,1,Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198
2122,Problems with the hip flexor,injury,2022-01-10,2022-01-17,7,2,Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198
2122,Arm Injury,injury,2021-08-26,2021-08-30,4,1,Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198
2122,Hamstring Injury,injury,2022-02-27,2022-03-16,17,3,Ismaïla Sarr,/ismaila-sarr/profil/spieler/410225
2122,Bruise,injury,2022-01-07,2022-01-27,20,3,Ismaïla Sarr,/ismaila-sarr/profil/spieler/410225
2122,Ligament Injury,injury,2021-11-21,2022-01-01,41,6,Ismaïla Sarr,/ismaila-sarr/profil/spieler/410225
2122,Transferred to Sheff Utd,Transfer,2021-08-31,2022-05-30,,,Morgan Gibbs-White,/morgan-gibbs-white/profil/spieler/429014
2122,Transferred to West Ham U21,Transfer,2021-07-01,2022-06-30,,,Dan Chesters,/dan-chesters/profil/spieler/561452
2122,Transferred to West Ham U21,Transfer,2021-07-01,2022-06-30,,,Kamarai Swyer,/kamarai-swyer/profil/spieler/693066
2122,Transferred to Wolves U18,Transfer,2021-07-01,2022-06-30,,,Dexter Lembikisa,/dexter-lembikisa/profil/spieler/712099
2122,Calf Injury,injury,2021-12-27,2022-05-01,125,18,Callum Wilson,/callum-wilson/profil/spieler/123682
2122,Hamstring Injury,injury,2021-08-30,2021-10-17,48,5,Callum Wilson,/callum-wilson/profil/spieler/123682
2122,Transferred to MK Dons,Transfer,2021-07-01,2022-01-15,,,Josh Martin,/josh-martin/profil/spieler/547534
2122,Transferred to Doncaster,Transfer,2022-01-17,2022-05-30,,,Josh Martin,/josh-martin/profil/spieler/547534
2122,Groin Injury,injury,2021-10-31,2021-11-24,24,3,Grant Hanley,/grant-hanley/profil/spieler/121385
2122,Knee Injury,injury,2021-10-25,2022-02-04,102,17,David Raya,/david-raya/profil/spieler/262749
2122,Transferred to West Ham U21,Transfer,2021-07-01,2022-06-30,,,Harrison Ashby,/harrison-ashby/profil/spieler/559130
2122,Transferred to Tottenham U23,Transfer,2021-07-01,2022-02-09,,,Michael Craig,/michael-craig/profil/spieler/633621
2122,Transferred to Without Club,Transfer,2022-02-10,2022-06-30,,,Michael Craig,/michael-craig/profil/spieler/633621
2122,Ill,injury,2022-04-01,2022-04-06,5,1,Moisés Caicedo,/moises-caicedo/profil/spieler/687626
2122,Transferred to Beerschot V.A.,Transfer,2021-08-31,2022-01-11,,,Moisés Caicedo,/moises-caicedo/profil/spieler/687626
2122,Sideband injury,injury,2022-03-11,2022-04-11,31,4,Junior Firpo,/junior-firpo/profil/spieler/374139
2122,Thigh Muscle Strain,injury,2022-01-16,2022-02-14,29,4,Junior Firpo,/junior-firpo/profil/spieler/374139
2122,Transferred to Barcelona,Transfer,2021-07-01,2021-07-05,,,Junior Firpo,/junior-firpo/profil/spieler/374139
2122,Transferred to Peterborough,Transfer,2022-01-06,2022-05-30,,,Bali Mumba,/bali-mumba/profil/spieler/433186
2122,Transferred to Stoke City,Transfer,2022-01-21,2022-05-30,,,Jaden Philogene,/jaden-philogene/profil/spieler/665390
2122,Transferred to Man Utd U23,Transfer,2021-07-01,2021-12-31,,,Anthony Elanga,/anthony-elanga/profil/spieler/583189
2122,Hamstring Injury,injury,2021-09-27,2021-12-25,89,12,Danny Welbeck,/danny-welbeck/profil/spieler/67063
2122,Hamstring Injury,injury,2021-07-24,2021-08-27,34,3,Danny Welbeck,/danny-welbeck/profil/spieler/67063
2122,Transferred to Sunderland,Transfer,2022-01-26,2022-05-30,,,Jack Clarke,/jack-clarke/profil/spieler/559794
2122,Knee Injury,injury,2022-03-19,2022-04-25,37,3,Rúben Neves,/ruben-neves/profil/spieler/225161
2122,Transferred to Everton U23,Transfer,2021-07-01,2022-06-30,,,Charlie Whitaker,/charlie-whitaker/profil/spieler/726992
2122,Transferred to Sheff Utd,Transfer,2021-08-16,2022-05-30,,,Ben Davies,/ben-davies/profil/spieler/257097
2122,Corona virus,injury,2021-12-14,2021-12-28,14,2,Jason Steele,/jason-steele/profil/spieler/73564
2122,Hamstring Injury,injury,2021-12-22,2022-01-14,23,4,Caglar Söyüncü,/caglar-soyuncu/profil/spieler/320141
